Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,118.830002,123.500000,118.830002,121.690002,121.690002,3625
2020-10-29,120.820000,121.930000,120.129997,121.230003,121.230003,2144
2020-10-30,121.239998,121.790001,119.320000,120.930000,120.930000,2933
2020-11-02,120.139999,121.000000,119.489998,120.519997,120.519997,3350
2020-11-03,122.000000,122.550003,121.129997,122.320000,122.320000,2527
2020-11-04,122.010002,123.500000,121.889999,123.269997,123.269997,2698
2020-11-05,124.000000,125.000000,123.900002,124.910004,124.910004,5231
2020-11-06,126.089996,127.000000,123.099998,126.800003,126.800003,5570
2020-11-09,127.400002,129.000000,127.010002,128.649994,128.649994,6628
2020-11-10,129.729996,130.949997,127.940002,130.410004,130.410004,7678
2020-11-11,129.770004,131.789993,129.369995,131.039993,131.039993,16982
2020-11-12,131.580002,131.600006,129.610001,130.130005,130.130005,3029
2020-11-13,130.800003,131.800003,129.600006,130.639999,130.639999,1582
2020-11-14,null,null,null,null,null,null
2020-11-17,128.000000,133.000000,125.099998,132.020004,132.020004,6580
2020-11-18,132.800003,133.199997,131.449997,133.009995,133.009995,2898
2020-11-19,134.000000,134.000000,131.509995,131.929993,131.929993,3801
2020-11-20,131.869995,133.220001,130.660004,132.720001,132.720001,2715
2020-11-23,133.000000,133.990005,131.000000,132.830002,132.830002,9944
2020-11-24,134.000000,134.580002,131.100006,134.070007,134.070007,6138
2020-11-25,135.699997,135.710007,132.259995,133.070007,133.070007,4023
2020-11-26,133.270004,135.000000,131.800003,133.740005,133.740005,1999
2020-11-27,134.389999,134.619995,133.229996,134.240005,134.240005,2381
2020-12-01,134.250000,135.000000,132.789993,134.649994,134.649994,4189
2020-12-02,135.440002,138.500000,133.800003,134.850006,134.850006,2638
2020-12-03,136.070007,136.210007,134.779999,135.539993,135.539993,2706
2020-12-04,135.539993,136.720001,135.240005,136.279999,136.279999,4299
2020-12-07,136.979996,137.990005,136.250000,137.020004,137.020004,3924
2020-12-08,138.220001,138.559998,137.000000,137.729996,137.729996,3121
2020-12-09,138.820007,139.699997,137.850006,139.089996,139.089996,5831
2020-12-10,139.240005,139.240005,137.199997,138.630005,138.630005,3596
2020-12-11,139.470001,139.949997,137.990005,139.059998,139.059998,6939
2020-12-14,139.869995,140.000000,138.000000,139.509995,139.509995,2630
2020-12-15,138.250000,140.639999,138.000000,140.279999,140.279999,2502
2020-12-16,141.179993,141.899994,140.630005,141.539993,141.539993,2695
2020-12-17,141.550003,142.779999,141.550003,142.089996,142.089996,4016
2020-12-18,142.410004,142.889999,141.529999,142.729996,142.729996,1621
2020-12-21,143.000000,143.000000,137.000000,138.110001,138.110001,6651
2020-12-22,130.149994,139.559998,130.149994,139.350006,139.350006,12215
2020-12-23,139.210007,140.660004,139.210007,140.520004,140.520004,2889
2020-12-24,140.699997,142.479996,140.699997,142.289993,142.289993,5268
2020-12-28,150.000000,150.000000,142.699997,143.259995,143.259995,3599
2020-12-29,144.160004,144.289993,143.179993,143.639999,143.639999,2817
2020-12-30,144.669998,144.669998,143.279999,144.320007,144.320007,1491
2020-12-31,144.279999,144.660004,143.100006,144.339996,144.339996,2322
2021-01-01,144.630005,145.309998,144.550003,144.990005,144.990005,4071
2021-01-04,145.869995,146.639999,144.720001,146.509995,146.509995,5735
2021-01-05,145.899994,147.100006,145.330002,147.070007,147.070007,2813
2021-01-06,147.320007,147.559998,145.979996,146.889999,146.889999,3415
2021-01-07,147.699997,147.710007,146.270004,146.479996,146.479996,4408
2021-01-08,146.479996,148.339996,146.479996,148.070007,148.070007,4035
2021-01-11,158.880005,158.880005,148.100006,149.300003,149.300003,9272
2021-01-12,149.869995,151.300003,149.179993,151.179993,151.179993,5276
2021-01-13,155.710007,158.000000,150.000000,150.720001,150.720001,6003
2021-01-14,150.470001,151.119995,150.000000,151.059998,151.059998,2317
2021-01-15,150.720001,150.960007,148.389999,149.520004,149.520004,4117
2021-01-18,149.300003,149.300003,147.309998,147.770004,147.770004,11693
2021-01-19,147.770004,151.000000,147.770004,150.179993,150.179993,3455
2021-01-20,150.630005,151.500000,149.830002,150.979996,150.979996,2032
2021-01-21,152.210007,152.729996,149.770004,150.589996,150.589996,1888
2021-01-22,151.589996,151.589996,148.240005,148.679993,148.679993,4173
2021-01-25,160.000000,160.000000,147.000000,147.380005,147.380005,11823
2021-01-27,146.550003,146.910004,144.050003,144.720001,144.720001,5229
2021-01-28,154.880005,165.000000,142.000000,143.929993,143.929993,18768
2021-01-29,153.880005,153.880005,143.000000,144.979996,144.979996,7138
2021-02-01,142.750000,154.880005,141.589996,145.759995,145.759995,6040
2021-02-02,155.880005,160.550003,144.949997,145.559998,145.559998,102243
2021-02-03,148.500000,153.600006,147.020004,152.600006,152.600006,17569
2021-02-04,157.000000,157.000000,149.649994,152.919998,152.919998,5008
2021-02-05,151.259995,154.500000,149.830002,153.759995,153.759995,28246
2021-02-08,155.910004,156.899994,152.729996,155.910004,155.910004,14286
2021-02-09,150.110001,157.300003,150.110001,155.619995,155.619995,5581
2021-02-10,151.529999,157.000000,151.529999,156.220001,156.220001,4490
2021-02-11,156.800003,157.500000,156.100006,156.720001,156.720001,4225
2021-02-12,152.509995,158.449997,152.509995,157.869995,157.869995,3468
2021-02-15,159.000000,159.660004,158.000000,159.009995,159.009995,2778
2021-02-16,159.990005,160.550003,155.850006,159.660004,159.660004,3085
2021-02-17,159.529999,159.690002,157.000000,158.910004,158.910004,4199
2021-02-18,158.800003,159.800003,156.139999,156.990005,156.990005,4466
2021-02-19,166.880005,166.880005,155.169998,156.449997,156.449997,2338
2021-02-22,157.020004,157.990005,152.479996,153.149994,153.149994,5744
2021-02-23,153.149994,156.889999,153.149994,156.199997,156.199997,5840
2021-02-24,155.289993,183.000000,132.000000,160.940002,160.940002,2134
2021-02-25,160.600006,160.600006,156.220001,157.759995,157.759995,8701
2021-02-26,158.000000,158.000000,150.949997,152.229996,152.229996,45255
2021-03-01,153.750000,158.800003,152.509995,153.929993,153.929993,3861
2021-03-02,153.009995,159.199997,153.009995,155.160004,155.160004,8578
2021-03-03,155.990005,158.990005,155.990005,158.190002,158.190002,4142
2021-03-04,156.779999,158.300003,155.559998,157.759995,157.759995,2635
2021-03-05,158.990005,158.990005,154.729996,156.520004,156.520004,15696
2021-03-08,158.490005,158.490005,154.699997,155.580002,155.580002,9685
2021-03-09,157.220001,157.619995,154.699997,156.639999,156.639999,6129
2021-03-10,157.990005,158.520004,156.649994,157.320007,157.320007,3500
2021-03-12,158.000000,159.679993,155.649994,156.419998,156.419998,5276
2021-03-15,156.500000,156.500000,153.100006,155.220001,155.220001,5062
2021-03-16,155.740005,156.479996,154.300003,154.960007,154.960007,3039
2021-03-17,151.130005,155.600006,151.130005,153.429993,153.429993,10383
2021-03-18,159.889999,159.889999,150.100006,151.089996,151.089996,5831
2021-03-19,150.899994,153.679993,148.949997,152.789993,152.789993,11153
2021-03-22,152.750000,155.000000,151.100006,153.100006,153.100006,3136
2021-03-23,150.509995,154.990005,150.509995,154.059998,154.059998,5525
2021-03-24,152.089996,153.479996,151.000000,151.550003,151.550003,6872
2021-03-25,151.149994,151.320007,149.000000,149.729996,149.729996,17077
2021-03-26,151.160004,152.000000,147.500000,151.490005,151.490005,3253
2021-03-30,153.990005,154.279999,151.860001,153.850006,153.850006,2635
2021-03-31,154.149994,154.190002,151.899994,153.500000,153.500000,3111
2021-04-01,154.460007,155.699997,153.100006,154.610001,154.610001,5252
2021-04-05,154.779999,154.779999,150.169998,152.710007,152.710007,11415
2021-04-06,150.009995,155.789993,150.009995,153.279999,153.279999,5562
2021-04-07,154.500000,154.940002,152.949997,154.479996,154.479996,3032
2021-04-08,155.440002,155.940002,153.669998,154.309998,154.309998,7149
2021-04-09,154.600006,154.949997,153.729996,154.039993,154.039993,5674
2021-04-12,156.979996,156.979996,148.699997,149.289993,149.289993,24396
2021-04-13,156.000000,156.000000,148.559998,150.679993,150.679993,3479
2021-04-15,151.240005,151.699997,149.139999,150.869995,150.869995,3000
2021-04-16,151.500000,152.570007,150.940002,151.559998,151.559998,4123
2021-04-19,148.929993,149.279999,147.679993,149.119995,149.119995,9298
2021-04-20,150.350006,150.660004,148.089996,148.679993,148.679993,3485
2021-04-22,147.399994,149.770004,147.039993,149.289993,149.289993,3987
2021-04-23,149.279999,150.529999,148.699997,148.779999,148.779999,4040
2021-04-26,149.389999,151.429993,149.389999,150.210007,150.210007,4704
2021-04-27,150.500000,152.399994,150.500000,151.820007,151.820007,4197
2021-04-28,152.259995,154.610001,152.259995,153.860001,153.860001,16003
2021-04-29,155.610001,155.990005,153.070007,153.710007,153.710007,5484
2021-04-30,153.500000,154.289993,151.750000,152.089996,152.089996,5892
2021-05-03,150.149994,152.479996,148.899994,151.300003,151.300003,4297
2021-05-04,152.699997,152.699997,150.000000,150.800003,150.800003,17571
2021-05-05,152.179993,152.600006,150.800003,151.309998,151.309998,2965
2021-05-06,152.750000,152.750000,151.399994,152.250000,152.250000,3247
2021-05-07,153.169998,154.429993,153.169998,153.289993,153.289993,2972
2021-05-10,155.990005,155.990005,154.279999,154.639999,154.639999,4234
2021-05-11,153.699997,154.699997,152.979996,154.270004,154.270004,5265
2021-05-12,151.199997,153.679993,151.199997,152.580002,152.580002,3492
2021-05-14,155.979996,155.979996,151.850006,152.830002,152.830002,4840
2021-05-17,152.559998,155.000000,152.559998,154.919998,154.919998,4983
2021-05-18,156.710007,157.000000,155.889999,156.320007,156.320007,11885
2021-05-19,156.190002,156.990005,155.679993,156.080002,156.080002,2653
2021-05-20,156.520004,156.889999,155.169998,155.779999,155.779999,2267
2021-05-21,157.050003,158.419998,156.300003,157.699997,157.699997,4344
2021-05-24,158.910004,159.399994,157.320007,157.860001,157.860001,4452
2021-05-25,157.800003,159.979996,157.729996,158.490005,158.490005,3706
2021-05-26,168.880005,168.880005,157.970001,160.660004,160.660004,3370
2021-05-27,164.979996,164.979996,159.110001,160.190002,160.190002,2859
2021-05-28,161.800003,161.800003,159.610001,160.690002,160.690002,10685
2021-05-31,164.889999,164.889999,159.479996,161.679993,161.679993,2862
